Date,Value1,Value2,Index
2013-01-28,2.879,"2,896.96",130
2013-01-29,0.9213,"2,923.65",131
2013-01-30,0.389,"2,935.02",132
2013-01-31,-0.2748,"2,926.96",133
2013-02-01,1.5112,"2,971.19",134
2013-02-04,-0.1968,"2,965.34",135
2013-02-05,0.9059,"2,992.21",136
2013-02-06,0.3291,"3,002.05",137
2013-02-07,-0.1812,"2,996.61",138
2013-02-08,0.8336,"3,021.59",139
2013-02-18,-0.4354,"3,008.44",140
2013-02-19,-1.8033,"2,954.18",141
2013-02-20,1.2031,"2,989.72",142
2013-02-21,-2.7899,"2,906.31",143
2013-02-22,-0.4068,"2,894.49",144
2013-02-25,0.646,"2,913.19",145
2013-02-26,-1.3984,"2,872.45",146
2013-02-27,0.6312,"2,890.58",147
2013-02-28,2.5803,"2,965.17",148
2013-03-01,0.4367,"2,978.12",149
2013-03-04,-4.0475,"2,857.58",150
2013-03-05,2.6935,"2,934.54",151
2013-03-06,1.3036,"2,972.80",152
2013-03-07,-1.1401,"2,938.91",153
2013-03-08,-0.6855,"2,918.76",154
2013-03-11,-0.3132,"2,909.62",155
2013-03-12,-1.8821,"2,854.86",156
2013-03-13,-0.9969,"2,826.40",157
2013-03-14,0.3091,"2,835.13",158
2013-03-15,0.2011,"2,840.83",159
2013-03-18,-1.3441,"2,802.65",160
2013-03-19,0.6074,"2,819.67",161
2013-03-20,3.0161,"2,904.72",162
2013-03-21,0.5728,"2,921.36",163
2013-03-22,0.2066,"2,927.39",164
2013-03-25,-0.1351,"2,923.44",165
2013-03-26,-1.1103,"2,890.98",166
2013-03-27,0.3053,"2,899.80",167
2013-03-28,-3.0844,"2,810.36",168
2013-03-29,-0.0954,"2,807.68",169
2013-04-01,0.2512,"2,814.73",170
2013-04-02,-0.7525,"2,793.55",171
2013-04-03,-0.4666,"2,780.52",172
2013-04-08,-0.0594,"2,778.87",173
2013-04-09,0.7935,"2,800.91",174
2013-04-10,-0.2446,"2,794.06",175
2013-04-11,-0.3216,"2,785.08",176
2013-04-12,-0.7049,"2,765.45",177
2013-04-15,-1.1571,"2,733.45",178
2013-04-16,0.9607,"2,759.70",179
2013-04-17,0.3781,"2,770.14",180
2013-04-18,0.2704,"2,777.63",181
2013-04-19,2.4496,"2,845.67",182
2013-04-22,0.2138,"2,851.75",183
2013-04-23,-3.0048,"2,766.06",184
2013-04-24,1.9811,"2,820.86",185
2013-04-25,-1.3416,"2,783.02",186
2013-04-26,-1.2615,"2,747.91",187
2013-05-02,0.3239,"2,756.81",188
2013-05-03,1.8525,"2,807.88",189
2013-05-06,1.5302,"2,850.85",190
2013-05-07,0.1975,"2,856.48",191
2013-05-08,0.7151,"2,876.90",192
2013-05-09,-0.259,"2,869.45",193
2013-05-10,0.5712,"2,885.84",194
2013-05-13,-0.006,"2,885.67",195
2013-05-14,-1.3225,"2,847.50",196
2013-05-15,0.9164,"2,873.60",197
2013-05-16,1.3913,"2,913.58",198
2013-05-17,1.485,"2,956.85",199
2013-05-20,1.022,"2,987.07",200
2013-05-21,0.6995,"3,007.96",201
2013-05-22,-0.3718,"2,996.78",202
2013-05-23,-1.0518,"2,965.26",203
2013-05-24,0.9951,"2,994.76",204
2013-05-27,0.5047,"3,009.88",205
2013-05-28,0.8674,"3,035.99",206
2013-05-29,0.273,"3,044.28",207
2013-05-30,-0.0596,"3,042.46",208
2013-05-31,-0.8294,"3,017.23",209
2013-06-03,-0.4287,"3,004.29",210
2013-06-04,-1.6926,"2,953.44",211
2013-06-05,0.1014,"2,956.44",212
2013-06-06,-1.4367,"2,913.96",213
2013-06-07,-1.6688,"2,865.33",214
2013-06-13,-3.0614,"2,777.61",215
2013-06-14,1.3038,"2,813.83",216
2013-06-17,-0.1205,"2,810.44",217
2013-06-18,0.4547,"2,823.22",218
2013-06-19,-0.6441,"2,805.03",219
2013-06-20,-3.2461,"2,713.98",220
2013-06-21,-0.3435,"2,704.65",221
2013-06-24,-6.1635,"2,537.95",222
2013-06-25,-0.2775,"2,530.91",223
2013-06-26,1.0802,"2,558.25",224
2013-06-27,-0.9459,"2,534.05",225
2013-06-28,0.9135,"2,557.20",226
2013-07-01,1.3205,"2,590.97",227
2013-07-02,1.02,"2,617.40",228
2013-07-03,-0.3689,"2,607.74",229
2013-07-04,0.7174,"2,626.45",230
2013-07-05,-0.2274,"2,620.47",231
2013-07-08,-3.2316,"2,535.79",232
2013-07-09,0.2857,"2,543.03",233
2013-07-10,2.8377,"2,615.20",234
2013-07-11,3.6393,"2,710.37",235
2013-07-12,-1.422036206810088,"2,671.82",236
2013-07-15,1.765003350617296,"2,719.19",237
2013-07-16,0.7575670159358066,"2,739.98",238
2013-07-17,-1.4444140682218827,"2,700.01",239
2013-07-18,-0.9030285131324824,"2,675.37",240
2013-07-19,-2.281119730763898,"2,613.58",241
2013-07-22,1.2129650691133032,"2,645.86",242
2013-07-23,2.6082972556031696,"2,716.08",243
2013-07-24,-0.033618916841416914,"2,715.14",244
2013-07-25,-1.2169511108815967,"2,681.40",245
2013-07-26,-0.31482939408038096,"2,672.79",246
2013-07-29,-1.944316009386967,"2,619.84",247
2013-07-30,0.13686577737762773,"2,623.50",248
2013-07-31,0.33438046814421696,"2,632.49",249
2013-08-01,2.574001986860909,"2,701.69",250
2013-08-02,0.20978554017977075,"2,707.50",251
2013-08-05,1.4334835878845242,"2,747.29",252
2013-08-06,0.8118629993361638,"2,770.21",253
2013-08-07,-0.8108086172710143,"2,747.08",254
2013-08-08,0.06805482994000384,"2,749.01",255
2013-08-09,0.2924899359952357,"2,757.32",256
2013-08-12,2.044764136278729,"2,815.57",257
2013-08-13,0.4379626899747341,"2,828.36",258
2013-08-14,-0.31913717758300275,"2,819.04",259
2013-08-15,-1.1102904370665239,"2,786.79",260
2013-08-16,-1.3704864203703355,"2,747.39",261
2013-08-19,1.4851057187045664,"2,789.96",262
2013-08-20,-0.4045188599148722,"2,778.13",263
2013-08-21,0.2067503339672357,"2,784.15",264
2013-08-22,0.0341748057484822,"2,785.15",265
2013-08-23,-0.40644933169188946,"2,773.28",266
2013-08-26,1.9784683285883589,"2,831.00",267
2013-08-27,0.49682874583548625,"2,845.87",268
2013-08-28,-0.670016865162913,"2,825.69",269
2013-08-29,-0.19486279783201507,"2,819.86",270
